time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1683885734119250400,41.65325048828125,0,0,0.9637734889984131,20.663000106811523,0.011894242838025093,0,336.29998779296875,10.9947972,49.5711181
1683885734625417700,42.159417724609376,0,0,0.9637734889984131,17.472000122070312,0.007082982454448938,0,336.29998779296875,10.994807,49.5711124
1683885736648266200,44.182266357421874,0,0,0.9887118935585022,16.03700065612793,0.029615165665745735,0,336.29998779296875,10.9948089,49.5711096
1683885737156249600,44.69024951171875,0,0,0.9887118935585022,15.190999984741211,0.04764154180884361,0,336.29998779296875,10.99481,49.5711082
1683885737662418700,45.19641870117187,0,0,1.0015122890472412,14.67300033569336,0.059872061014175415,0,336.29998779296875,10.9948106,49.5711073
1683885739180928300,46.71492822265625,0,0,0.959726095199585,13.322999954223633,0.07124100625514984,0,336.29998779296875,10.9948119,49.5711063
1683885740193257200,47.72725732421875,0,0,0.9715576171875,12.031000137329102,0.20678450167179108,173.2522735595703,336.29998779296875,10.9948123,49.5710999
1683885741205623300,48.739623291015626,0,0,0.9715576171875,11.979000091552734,0.2804456651210785,177.0236358642578,336.29998779296875,10.994812,49.5710952
1683885742217972200,49.75197216796875,0,0,0.9903900623321533,12.109000205993652,0.30081504583358765,179.40960693359375,336.29998779296875,10.9948115,49.571092
1683885743227678000,50.76167797851563,0,0,0.9903900623321533,12.845000267028809,0.30411750078201294,180.3195343017578,336.29998779296875,10.9948112,49.5710893
1683885743736498700,51.27049877929687,0,0,1.0092334747314453,13.623000144958496,0.289117693901062,180.42901611328125,336.29998779296875,10.9948112,49.5710874
1683885744242674400,51.77667431640625,0,0,0.9557750225067139,14.960000038146973,0.28817322850227356,181.44822692871094,336.1999816894531,10.9948108,49.5710873
1683885744748851000,52.282850830078125,0,0,0.9557750225067139,15.659000396728516,0.4694848358631134,174.97952270507812,336.1999816894531,10.9948141,49.5710769
1683885745761201700,53.29520166015625,0,0,0.972855806350708,17.312000274658203,0.6438097357749939,172.238525390625,336.1999816894531,10.9948179,49.571065
1683885746773556700,54.307556640625,0,0,0.9829217791557312,19.577999114990234,0.8089972734451294,172.8801727294922,336.1999816894531,10.9948201,49.5710512
1683885747785909500,55.31990942382812,0,0,0.9829217791557312,22.222000122070312,0.966002881526947,176.1094207763672,336.1999816894531,10.9948187,49.571036
1683885748300519400,55.83451953125,0,0,1.0002838373184204,24.40999984741211,1.109379529953003,179.8241729736328,336.1999816894531,10.9948142,49.5710226
1683885748806697700,56.34069775390625,0,0,0.9514917135238647,26.915000915527344,0.04649316892027855,0,336.29998779296875,10.994822,49.5710398
1683885749312873700,56.84687377929688,0,0,0.9564926028251648,26.295000076293945,0.07240355014801025,0,336.29998779296875,10.9948271,49.5710352
1683885750325225000,57.85922485351563,0,0,0.9564926028251648,26.98900032043457,0.018977435305714607,0,336.29998779296875,10.9948295,49.5710328
1683885750831403300,58.3654033203125,0,0,0.9670832753181458,26.41699981689453,0.01108247134834528,0,336.29998779296875,10.9948318,49.5710314
1683885753362274300,60.8962744140625,0,0,0.9954751133918762,24.566999435424805,0.003099719062447548,0,336.29998779296875,10.9948316,49.5710316
1683885754374622200,61.908622314453126,0,0,0.9476385116577148,23.517000198364258,0.0008574773673899472,0,338.23861339517697,10.9948315,49.5710331
1683885754724148000,62.25814794921875,0,5.526623249053955,0.9516399502754211,312.43499755859375,0.0029394186567515135,0,338.23861339517697,10.9948312,49.5710347
1683885759191698400,66.72569848632813,0,0,0.9425436854362488,19.992000579833984,0.040543437004089355,0,336.29998779296875,10.9948341,49.5710414
